text,style,control
A goat walking slowly on rocks in the mountains,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/000_goat.mp4
A car driving around a roundabout,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/001_car-roundabout.mp4
A motocross rider performing a jumping stunt on a dirt track in the forest,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/002_motocross-jump.mp4
A person breakdancing surrounded by a crowd of people,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/003_breakdance.mp4
A car drifting through a chicane on a racetrack,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/004_drift-chicane.mp4
A car performing a straight drift on a racetrack,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/005_drift-straight.mp4
Two people practicing judo in a dojo with a few people watching them,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/006_judo.mp4
Two people riding a selfmade soapbox on a homemade wooden hill with a few people watchting,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/007_soapbox.mp4
Two dogs in an open grass field catching a snack by jumping that was thrown by a person,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/008_dogs-jump.mp4
A person doing parkour outside jumping over fences and walls,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/009_parkour.mp4
A crowded street scene with people walking and some riding motors,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/010_india.mp4
Three pigs walking on dry muddy ground,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/011_pigs.mp4
A cow walking on muddy ground in a field with green grass,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/012_cows.mp4
Multiple goldfish swimming in an aquarium,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/013_gold-fish.mp4
A paraglider launching on a grassy mountain slope with a panoramic view of forests and small towns,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/014_paragliding-launch.mp4
A camel walking on dry sandy ground with a wooden fence and trees,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/015_camel.mp4
A black swan swimming in a green canel with a concrete edge and green bushes along the waterside,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/016_blackswan.mp4
A dog walking on dry brown grass in an outdoor setting,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/017_dog.mp4
A person fixing a black road bike indoors in a living room,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/018_bike-packing.mp4
A person swinging on a rope while shooting with a gun,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/019_shooting.mp4
Three woman wearing white lab coats standing on a green grass field outdoors,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/020_lab-coat.mp4
A person kite surfing on ocean water,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/021_kite-surf.mp4
A person riding a bmx bike along a path next to colorful graffiti wall,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/022_bmx-trees.mp4
A women dancer twirling outside while a crowd is watching,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/023_dance-twirl.mp4
A car driving through a city with buildings casting shadows on the road,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/024_car-shadow.mp4
A dog walking on grass between a fence and some trees,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/025_libby.mp4
A person riding a black scooter on a city road with parked scooters in the background,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/026_scooter-black.mp4
A motorcycle rider doing a burnout on a road with skid marks on the asphalt,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/027_mbike-trick.mp4
A person loading televisions onto a cart inside a store,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/028_loading.mp4
A horse jumping over an obstacle in a sandy show jumping arena,/home/u672153/StyleMaster/stylemaster-wan/example_test_data/style_images/0001.jpg,/home/u672153/StyleMaster/stylemaster-wan/davis_inputs_all/029_horsejump-high.mp4
